Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 3-комнатной квартиры 130м², 11/22этаж",Ломоносовский проспект,"•до центра 8,8 км",423077₽/м²,3-комнатная,11,22,130м²,70м²,20м²,55000000
"Продажа 4-комнатной квартиры 106м², 3/10этаж",Аминьевская,"•до центра 11,2 км",646226₽/м²,4-комнатная,3,10,,,,68500000
"Продажа многокомнатной квартиры 136,9м², 8/14этаж",Минская,"•до центра 8,8 км",745069₽/м²,5-комнатная,8,14,"136,9м²","72,7м²",12м²,102000000
"Продажа 2-комнатной квартиры 75м², 7/10этаж",Аминьевская,"•до центра 11,2 км",440000₽/м²,2-комнатная,7,10,75м²,35м²,21м²,33000000
"Продажа 3-комнатной квартиры 118м², 9/18этаж",Раменки,"•до центра 9,7 км",507627₽/м²,3-комнатная,9,18,118м²,75м²,20м²,59900000
"Продажа 3-комнатной квартиры 117,2м², 7/18этаж",Раменки,"•до центра 9,7 км",580205₽/м²,3-комнатная,7,18,"117,2м²","58,6м²","16,8м²",68000000
"Продажа 2-комнатной квартиры 80м², 14/21этаж",Раменки,"•до центра 9,8 км",748750₽/м²,2-комнатная,14,21,80м²,36м²,"14,8м²",59900000
"Продажа 2-комнатной квартиры 82,9м², 3/14этаж",Раменки,"•до центра 9,9 км",518697₽/м²,2-комнатная,3,14,"82,9м²","36,5м²","26,3м²",43000000
"Продажа 3-комнатной квартиры 109м², 34/43этаж",Минская,"•до центра 8,5 км",431193₽/м²,,,,,,,47000000
"Продажа 1-комнатной квартиры 38,5м², 10/11этаж",Аминьевская,"•до центра 11,3 км",590663₽/м²,1-комнатная,10,11,,,,22740544
"Продажа 3-комнатной квартиры 115,1м², 33/43этаж",Минская,"•до центра 8,5 км",407385₽/м²,,,,,,,46890000
"Продажа многокомнатной квартиры 219м², 31/43этаж",Ломоносовский проспект,"•до центра 8,5 км",593607₽/м²,,,,219м²,18м²,31 из 43,130000000
"Продажа 4-комнатной квартиры 97м², 7/14этаж",Минская,"•до центра 8,8 км",618557₽/м²,4-комнатная,7,14,97м²,65м²,15м²,60000000
"Продажа 1-комнатной квартиры 40,7м², 3/11этаж",Раменки,•до центра 10 км,540295₽/м²,1-комнатная,3,11,"40,7м²","16,6м²",11м²,21990000
"Продажа 4-комнатной квартиры 231м², 8/53этаж",Ломоносовский проспект,"•до центра 6,8 км",670996₽/м²,,,,,,,155000000
"Продажа 4-комнатной квартиры 126м², 11/13этаж",Раменки,"•до центра 9,9 км",554762₽/м²,4-комнатная,11,13,126м²,54м²,20м²,69900000
"Продажа 3-комнатной квартиры 133,5м², 51/52этаж",Минская,"•до центра 9,5 км",427965₽/м²,,,,,,,57133300
"Продажа 3-комнатной квартиры 77м², 9/14этаж",Минская,"•до центра 8,8 км",551948₽/м²,3-комнатная,9,14,77м²,42м²,12м²,42500000
"Продажа 2-комнатной квартиры 49,9м², 2/35этаж",Аминьевская,"•до центра 11,5 км",701403₽/м²,2-комнатная,2,35,"49,9м²",38м²,9м²,35000000
"Продажа 4-комнатной квартиры 164м², 46/53этаж",Ломоносовский проспект,"•до центра 6,8 км",792683₽/м²,апартаменты,,,,,,130000000
"Продажа 3-комнатной квартиры 81м², 11/15этаж",Раменки,"•до центра 9,5 км",555556₽/м²,3-комнатная,11,15,81м²,30м²,25м²,45000000
"Продажа 2-комнатной квартиры 83,9м², 26/28этаж",Раменки,"•до центра 9,9 км",548272₽/м²,,,,,,,46000000
"Продажа 2-комнатной квартиры 70м², 2/17этаж",Раменки,"•до центра 9,5 км",357143₽/м²,2-комнатная,2,17,70м²,37м²,13м²,25000000
"Продажа 2-комнатной квартиры 67,5м², 20/32этаж",Минская,"•до центра 7,2 км",852017₽/м²,2-комнатная,20,32,"67,5м²","39,6м²","6,7м²",57511140
"Продажа 3-комнатной квартиры 69м², 9/14этаж",Минская,"•до центра 8,8 км",811594₽/м²,3-комнатная,9,14,,,,56000000
"Продажа 4-комнатной квартиры 132м², 22/28этаж",Раменки,•до центра 10 км,522720₽/м²,,,,132м²,79м²,22 из 28,68999000
"Продажа 2-комнатной квартиры 49,4м², 17/56этаж",Минская,"•до центра 8,8 км",414980₽/м²,2-комнатная,17,56,"49,4м²","33,1м²",7м²,20500000
"Продажа многокомнатной квартиры 136м², 4/14этаж",Минская,"•до центра 8,8 км",661765₽/м²,5-комнатная,4,14,136м²,73м²,12м²,90000000
"Продажа 3-комнатной квартиры 79,6м², 7/52этаж",Минская,"•до центра 9,5 км",377092₽/м²,3-комнатная,7,52,"79,6м²","56,5м²","6,1м²",30016515
"Продажа 2-комнатной квартиры 62,6м², 24/28этаж",Раменки,"•до центра 9,9 км",527157₽/м²,,,,,,,33000000
"Продажа многокомнатной квартиры 455м², 14/19этаж",Университет,"•до центра 8,9 км",653846₽/м²,6-комнатная,14,19,455м²,350м²,50м²,297500000
"Продажа многокомнатной квартиры 127,3м², 11/14этаж",Минская,"•до центра 8,8 км",683425₽/м²,5-комнатная,11,14,"127,3м²",80м²,8м²,87000000
"Продажа 1-комнатной квартиры 48м², 9/21этаж",Раменки,"•до центра 9,9 км",625000₽/м²,1-комнатная,9,21,48м²,21м²,"12,7м²",30000000
"Продажа 1-комнатной квартиры 65м², 3/15этаж",Ломоносовский проспект,"•до центра 8,3 км",1000000₽/м²,1-комнатная,3,15,65м²,19м²,27м²,65000000
"Продажа квартиры-студии 30м², 22/41этаж",Аминьевская,"•до центра 11,1 км",510000₽/м²,,,,30м²,18м²,22 из 41,15300000
"Продажа квартиры со свободной планировкой 71,2м², 8/14этаж",Минская,•до центра 9 км,589888₽/м²,,,,,,,42000000
"Продажа 3-комнатной квартиры 64м², 20/31этаж",Аминьевская,"•до центра 11,5 км",557813₽/м²,3-комнатная,20,31,64м²,38м²,21м²,35700000
"Продажа 4-комнатной квартиры 131м², 2/14этаж",Минская,"•до центра 8,8 км",648855₽/м²,4-комнатная,2,14,131м²,80м²,15м²,85000000
"Продажа 2-комнатной квартиры 42,6м², 4/5этаж",Ломоносовский проспект,"•до центра 8,3 км",394366₽/м²,2-комнатная,4,5,"42,6м²",27м²,6м²,16800000
"Продажа 2-комнатной квартиры 72м², 7/25этаж",Аминьевская,"•до центра 11,5 км",381944₽/м²,2-комнатная,7,25,72м²,36м²,16м²,27500000
"Продажа 3-комнатной квартиры 130м², 22/53этаж",Ломоносовский проспект,"•до центра 6,8 км",769231₽/м²,апартаменты,,,,,,100000000
"Продажа 4-комнатной квартиры 127,1м², 45/50этаж",Мичуринский проспект,"•до центра 11,2 км",504700₽/м²,,,,,,,64147370
"Продажа 2-комнатной квартиры 73м², 15/25этаж",Аминьевская,"•до центра 11,7 км",327397₽/м²,2-комнатная,15,25,73м²,"34,5м²",17м²,23900000
"Продажа 4-комнатной квартиры 139м², 11/18этаж",Ломоносовский проспект,•до центра 9 км,539568₽/м²,4-комнатная,11,18,139м²,100м²,12м²,75000000
"Продажа 3-комнатной квартиры 91,9м², 10/14этаж",Минская,"•до центра 8,7 км",734059₽/м²,3-комнатная,10,14,"91,9м²","39,1м²","25,7м²",67460000
"Продажа 3-комнатной квартиры 106,9м², 6/28этаж",Раменки,"•до центра 9,9 км",458372₽/м²,3-комнатная,6,28,,,,49000000
"Продажа 4-комнатной квартиры 96м², 31/37этаж",Аминьевская,"•до центра 11,1 км",356250₽/м²,,,,,,,34200000
"Продажа 2-комнатной квартиры 73,5м², 19/21этаж",Раменки,"•до центра 9,8 км",598639₽/м²,2-комнатная,19,21,"73,5м²","39,8м²","11,5м²",44000000
"Продажа многокомнатной квартиры 266м², 7/43этаж",Минская,"•до центра 8,2 км",676692₽/м²,5-комнатная,7,43,,,,180000000
"Продажа 2-комнатной квартиры 41,1м², 27/41этаж",Аминьевская,"•до центра 11,1 км",433090₽/м²,,,,,,,17800000
"Продажа 3-комнатной квартиры 63,8м², 2/41этаж",Киевская,"•до центра 5,6 км",697000₽/м²,3-комнатная,2,41,,,,44440720
"Продажа многокомнатной квартиры 208м², 2/14этаж",Минская,"•до центра 8,8 км",619712₽/м²,6-комнатная,2,14,,,,128900000
"Продажа 4-комнатной квартиры 131м², 21/39этаж",Минская,"•до центра 8,5 км",648855₽/м²,,,,,,,85000000
"Продажа 4-комнатной квартиры 142м², 11/22этаж",Аминьевская,"•до центра 11,3 км",415493₽/м²,4-комнатная,11,22,,,,59000000
"Продажа многокомнатной квартиры 197,8м², 12/39этаж",Минская,"•до центра 8,5 км",1011122₽/м²,5-комнатная,12,39,,,,200000000
"Продажа 4-комнатной квартиры 139м², 11/18этаж",Ломоносовский проспект,•до центра 9 км,539568₽/м²,4-комнатная,11,18,139м²,100м²,12м²,75000000
"Продажа 3-комнатной квартиры 80м², 5/18этаж",Раменки,"•до центра 9,8 км",531250₽/м²,3-комнатная,5,18,80м²,39м²,17м²,42500000
"Продажа 2-комнатной квартиры 70,2м², 3/14этаж",Минская,"•до центра 8,8 км",541311₽/м²,2-комнатная,3,14,"70,2м²",35м²,20м²,38000000
"Продажа квартиры-студии 40,5м², 7/39этаж",Аминьевская,"•до центра 11,5 км",441975₽/м²,,,,,,,17900000
